employee_id,survey_month,support_feeling,job_satisfaction,exhaustion_feeling,work_mood,feedback_text,department,location,job_title,worker_type,tenure_months
23,2025-03,Often supported,Satisfied,Sometimes,Very happy,Supportive supervisors. Fair pay. Good team.,Management,Citrusdal Pack House,General Manager,Permanent,168
24,2025-03,Always supported,Very satisfied,Never,Happy,Proper equipment provided. Good working environment. Regular breaks.,Management,Dullstroom,HR Manager,Permanent,158
25,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Good working environment. Fair management. Weather challenges. Low wages.,Management,Upington,Finance Manager,Permanent,137
26,2025-03,Sometimes supported,Neutral,Rarely,Happy,Fair pay. Regular breaks. Long hours. Transportation issues.,Management,Citrusdal,Production Manager,Permanent,81
28,2025-03,Rarely supported,Dissatisfied,Often,Neutral,Unfair treatment. Transportation issues. Weather challenges.,Management,Citrusdal,General Manager,Permanent,135
31,2025-03,Often supported,Satisfied,Rarely,Happy,Clear instructions. Regular breaks. Respectful treatment. Housing problems.,Management,Citrusdal,Farm Manager,Permanent,93
32,2025-03,Sometimes supported,Neutral,Sometimes,Very happy,Supportive supervisors. Regular breaks. Too much overtime. Heavy workload.,Management,Ceres Pack House,Finance Manager,Permanent,139
33,2025-03,Often supported,Satisfied,Rarely,Happy,Regular breaks. Proper equipment provided. Good team.,Management,Graaff-Reinet,General Manager,Permanent,30
34,2025-03,Sometimes supported,Neutral,Sometimes,Happy,Regular breaks. Proper equipment provided. Too much overtime. Poor equipment.,Management,Ceres Pack House,Farm Manager,Permanent,89
35,2025-03,Sometimes supported,Neutral,Sometimes,Unhappy,Fair pay. Good team. Low wages. Long hours.,Management,Graaff-Reinet,Farm Manager,Permanent,68
36,2025-03,Often supported,Satisfied,Rarely,Happy,Fair pay. Safety is prioritized. Respectful treatment.,Management,Dullstroom,Operations Manager,Permanent,46
37,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Safety is prioritized. Fair pay. Inadequate breaks. Low wages.,Management,Ceres,Production Manager,Permanent,127
38,2025-03,Often supported,Satisfied,Rarely,Neutral,Clear instructions. Proper equipment provided. Good team. Weather challenges.,Management,Ceres Pack House,HR Manager,Permanent,146
39,2025-03,Sometimes supported,Neutral,Sometimes,Unhappy,Clear instructions. Opportunities to learn. Too much overtime. Transportation issues.,Management,Ceres Pack House,Finance Manager,Permanent,151
42,2025-03,Often supported,Satisfied,Rarely,Happy,Good communication. Clear instructions. Good working environment.,Management,Graaff-Reinet,HR Manager,Permanent,179
43,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Respectful treatment. Clear instructions. Unfair treatment. Poor equipment.,Management,Citrusdal Pack House,Operations Manager,Permanent,91
44,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Good working environment. Respectful treatment. Transportation issues. Housing problems.,Management,Dullstroom,General Manager,Permanent,142
45,2025-03,Often supported,Satisfied,Sometimes,Happy,Regular breaks. Fair pay. Fair management.,Management,Ceres,HR Manager,Permanent,47
46,2025-03,Often supported,Satisfied,Rarely,Happy,Regular breaks. Good communication. Clear instructions. Unfair treatment.,Management,Upington,Finance Manager,Permanent,89
47,2025-03,Sometimes supported,Neutral,Often,Neutral,Good working environment. Good communication. Poor equipment. Too much overtime.,Management,Graaff-Reinet,Production Manager,Permanent,145
48,2025-03,Often supported,Satisfied,Sometimes,Happy,Regular breaks. Good communication. Respectful treatment. Low wages.,Management,Ceres,HR Manager,Permanent,87
50,2025-03,Sometimes supported,Neutral,Sometimes,Happy,Good communication. Opportunities to learn. Poor communication. Housing problems.,Management,Citrusdal,Operations Manager,Permanent,146
52,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Respectful treatment. Fair pay. Unfair treatment. Long hours.,Citrus Production,Ceres,Farm Supervisor,Seasonal,4
54,2025-03,Sometimes supported,Neutral,Sometimes,Happy,Proper equipment provided. Fair management. Long hours. Unfair treatment.,Logistics,Upington,Logistics Supervisor,Permanent,18
55,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Respectful treatment. Proper equipment provided. Unfair treatment. Low wages.,Logistics,Ceres,Dispatcher,Contract,13
56,2025-03,Often supported,Satisfied,Sometimes,Happy,Regular breaks. Safety is prioritized. Respectful treatment.,Cattle Farming,Dullstroom,Cattle Herder,Permanent,145
59,2025-03,Sometimes supported,Neutral,Often,Neutral,Opportunities to learn. Fair management. Transportation issues. Poor equipment.,Pack House Operations,Citrusdal Pack House,Machine Operator,Permanent,97
61,2025-03,Sometimes supported,Neutral,Often,Neutral,Fair management. Good team. Transportation issues. Housing problems.,Pack House Operations,Ceres Pack House,Logistics Coordinator,Permanent,157
62,2025-03,Rarely supported,Dissatisfied,Often,Neutral,Long hours. Too much overtime. Poor communication. Safety is prioritized.,Logistics,Graaff-Reinet,Logistics Supervisor,Permanent,157
65,2025-03,Often supported,Satisfied,Rarely,Happy,Opportunities to learn. Fair pay. Proper equipment provided.,Pack House Operations,Citrusdal Pack House,Machine Operator,Permanent,123
66,2025-03,Often supported,Satisfied,Never,Happy,Regular breaks. Safety is prioritized. Respectful treatment.,Logistics,Ceres Pack House,Driver,Permanent,150
68,2025-03,Sometimes supported,Neutral,Sometimes,Happy,Opportunities to learn. Fair management. Poor equipment. Transportation issues.,Grape Production,Upington,Vineyard Worker,Permanent,86
69,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Fair management. Regular breaks. Low wages. Poor equipment.,Citrus Production,Citrusdal,Farm Worker,Seasonal,5
70,2025-03,Rarely supported,Dissatisfied,Sometimes,Neutral,Long hours. Low wages. Safety concerns.,Administration,Dullstroom,Payroll Officer,Seasonal,2
71,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Transportation issues. Too much overtime. Low wages.,Pack House Operations,Citrusdal Pack House,Machine Operator,Seasonal,4
75,2025-03,Rarely supported,Dissatisfied,Often,Neutral,Unfair treatment. Heavy workload. Housing problems.,Cattle Farming,Dullstroom,Cattle Herder,Seasonal,5
77,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Clear instructions. Good communication. Poor equipment. Safety concerns.,Logistics,Citrusdal Pack House,Logistics Supervisor,Permanent,112
78,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Housing problems. Weather challenges. Inadequate breaks.,Citrus Production,Ceres,Tractor Driver,Permanent,69
79,2025-03,Often supported,Satisfied,Rarely,Happy,Fair pay. Good team. Safety is prioritized.,Citrus Production,Citrusdal,Irrigation Specialist,Permanent,52
80,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Good communication. Supportive supervisors. Unfair treatment. Heavy workload.,Administration,Dullstroom,Data Entry Clerk,Seasonal,6
82,2025-03,Rarely supported,Dissatisfied,Often,Neutral,Poor equipment. Housing problems. Heavy workload.,Pack House Operations,Citrusdal Pack House,Quality Inspector,Seasonal,3
83,2025-03,Sometimes supported,Neutral,Often,Unhappy,Respectful treatment. Proper equipment provided. Transportation issues. Heavy workload.,Citrus Production,Citrusdal,Harvester,Seasonal,4
84,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Proper equipment provided. Safety is prioritized. Inadequate breaks. Long hours.,Logistics,Graaff-Reinet,Logistics Supervisor,Permanent,121
86,2025-03,Often supported,Satisfied,Sometimes,Neutral,Fair management. Good working environment. Good communication.,Administration,Ceres Pack House,Data Entry Clerk,Permanent,124
87,2025-03,Sometimes supported,Neutral,Sometimes,Unhappy,Good working environment. Regular breaks. Low wages. Long hours.,Citrus Production,Ceres,Irrigation Specialist,Permanent,59
90,2025-03,Often supported,Satisfied,Sometimes,Very happy,Good communication. Clear instructions. Supportive supervisors.,Citrus Production,Ceres,Farm Supervisor,Permanent,175
93,2025-03,Sometimes supported,Neutral,Rarely,Neutral,Safety is prioritized. Opportunities to learn. Low wages. Too much overtime.,Grape Production,Upington,Vineyard Supervisor,Permanent,173
94,2025-03,Often supported,Satisfied,Sometimes,Happy,Respectful treatment. Clear instructions. Proper equipment provided. Too much overtime.,Administration,Citrusdal,Admin Clerk,Contract,29
95,2025-03,Sometimes supported,Neutral,Rarely,Unhappy,Good communication. Good team. Poor communication. Weather challenges.,Citrus Production,Ceres,Harvester,Permanent,65
97,2025-03,Often supported,Satisfied,Rarely,Very happy,Fair management. Supportive supervisors. Safety is prioritized. Inadequate breaks.,Logistics,Ceres Pack House,Driver,Permanent,98
99,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Regular breaks. Clear instructions. Low wages. Weather challenges.,Maintenance,Upington,Mechanic,Permanent,61
100,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Weather challenges. Heavy workload. Housing problems. Regular breaks.,Maintenance,Dullstroom,Maintenance Worker,Seasonal,6
101,2025-03,Often supported,Satisfied,Sometimes,Happy,Respectful treatment. Good communication. Regular breaks.,Maize Production,Graaff-Reinet,Farm Worker,Permanent,59
103,2025-03,Often supported,Satisfied,Rarely,Neutral,Opportunities to learn. Supportive supervisors. Safety is prioritized.,Cattle Farming,Dullstroom,Farm Hand,Permanent,101
108,2025-03,Often supported,Satisfied,Rarely,Happy,Clear instructions. Fair pay. Regular breaks.,Logistics,Ceres,Driver,Permanent,188
114,2025-03,Often supported,Satisfied,Sometimes,Very happy,Proper equipment provided. Safety is prioritized. Good team.,Maintenance,Dullstroom,Equipment Technician,Permanent,41
116,2025-03,Always supported,Very satisfied,Never,Happy,Safety is prioritized. Good working environment. Fair pay. Unfair treatment.,Maintenance,Upington,Electrician,Permanent,19
119,2025-03,Rarely supported,Dissatisfied,Sometimes,Unhappy,Long hours. Poor equipment. Weather challenges.,Maintenance,Citrusdal Pack House,Mechanic,Contract,48
121,2025-03,Sometimes supported,Neutral,Rarely,Neutral,Supportive supervisors. Good working environment. Low wages. Weather challenges.,Grape Production,Upington,Vineyard Supervisor,Permanent,144
123,2025-03,Often supported,Satisfied,Rarely,Happy,Good team. Fair management. Clear instructions.,Maintenance,Upington,Maintenance Supervisor,Permanent,128
124,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Fair pay. Regular breaks. Unfair treatment. Long hours.,Maize Production,Graaff-Reinet,Farm Worker,Seasonal,6
127,2025-03,Sometimes supported,Neutral,Sometimes,Happy,Opportunities to learn. Good team. Too much overtime. Heavy workload.,Maintenance,Ceres Pack House,Equipment Technician,Permanent,106
129,2025-03,Often supported,Satisfied,Rarely,Neutral,Good team. Good communication. Fair pay.,Administration,Citrusdal Pack House,Payroll Officer,Permanent,32
132,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Long hours. Inadequate breaks. Low wages.,Maintenance,Dullstroom,Maintenance Supervisor,Permanent,149
135,2025-03,Rarely supported,Dissatisfied,Rarely,Neutral,Transportation issues. Too much overtime. Weather challenges.,Logistics,Ceres Pack House,Forklift Operator,Permanent,118
139,2025-03,Sometimes supported,Neutral,Often,Neutral,Safety is prioritized. Respectful treatment. Long hours. Poor communication.,Citrus Production,Ceres,Farm Worker,Seasonal,5
140,2025-03,Sometimes supported,Neutral,Sometimes,Happy,Respectful treatment. Proper equipment provided. Too much overtime. Low wages.,Logistics,Citrusdal Pack House,Driver,Permanent,71
142,2025-03,Often supported,Satisfied,Rarely,Very happy,Opportunities to learn. Good working environment. Respectful treatment.,Citrus Production,Ceres,Farm Supervisor,Permanent,155
145,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Good team. Good communication. Safety concerns. Heavy workload.,Logistics,Ceres Pack House,Dispatcher,Permanent,87
146,2025-03,Rarely supported,Dissatisfied,Often,Neutral,Heavy workload. Weather challenges. Housing problems.,Pack House Operations,Ceres,Logistics Coordinator,Seasonal,2
150,2025-03,Sometimes supported,Neutral,Rarely,Happy,Fair pay. Regular breaks. Inadequate breaks. Weather challenges.,Pack House Operations,Ceres Pack House,Machine Operator,Seasonal,4
151,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Inadequate breaks. Poor equipment. Transportation issues. Good working environment.,Pack House Operations,Citrusdal Pack House,Floor Supervisor,Seasonal,5
154,2025-03,Sometimes supported,Neutral,Sometimes,Unhappy,Proper equipment provided. Supportive supervisors. Heavy workload. Poor equipment.,Logistics,Ceres Pack House,Dispatcher,Permanent,2
155,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Unfair treatment. Safety concerns. Poor communication. Safety is prioritized.,Pack House Operations,Ceres,Floor Supervisor,Seasonal,4
156,2025-03,Rarely supported,Dissatisfied,Often,Neutral,Housing problems. Poor communication. Weather challenges. Fair management.,Cattle Farming,Dullstroom,Livestock Supervisor,Contract,15
161,2025-03,Sometimes supported,Neutral,Often,Neutral,Safety is prioritized. Good communication. Inadequate breaks. Poor communication.,Grape Production,Upington,Pruner,Permanent,73
162,2025-03,Rarely supported,Dissatisfied,Often,Happy,Heavy workload. Unfair treatment. Poor communication.,Pack House Operations,Ceres Pack House,Sorter,Contract,6
164,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Fair management. Fair pay. Heavy workload. Housing problems.,Citrus Production,Ceres,Farm Worker,Permanent,63
166,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Proper equipment provided. Supportive supervisors. Heavy workload. Poor communication.,Cattle Farming,Dullstroom,Farm Hand,Permanent,118
169,2025-03,Often supported,Satisfied,Rarely,Happy,Fair management. Fair pay. Proper equipment provided.,Administration,Dullstroom,Data Entry Clerk,Contract,41
170,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Long hours. Transportation issues. Too much overtime. Fair management.,Pack House Operations,Citrusdal Pack House,Logistics Coordinator,Seasonal,1
172,2025-03,Sometimes supported,Neutral,Often,Unhappy,Fair pay. Supportive supervisors. Poor communication. Transportation issues.,Cattle Farming,Dullstroom,Livestock Supervisor,Permanent,152
175,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Good team. Opportunities to learn. Heavy workload. Transportation issues.,Pack House Operations,Ceres,Logistics Coordinator,Permanent,29
176,2025-03,Sometimes supported,Neutral,Rarely,Happy,Supportive supervisors. Good communication. Unfair treatment. Inadequate breaks.,Maintenance,Citrusdal,Electrician,Permanent,68
177,2025-03,Sometimes supported,Neutral,Often,Unhappy,Opportunities to learn. Fair management. Inadequate breaks. Weather challenges.,Pack House Operations,Citrusdal Pack House,Sorter,Contract,23
178,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Inadequate breaks. Safety concerns. Low wages. Opportunities to learn.,Maize Production,Graaff-Reinet,Crop Specialist,Seasonal,3
179,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Housing problems. Poor equipment. Weather challenges.,Pack House Operations,Ceres Pack House,Quality Inspector,Seasonal,1
181,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Good communication. Supportive supervisors. Long hours. Unfair treatment.,Pack House Operations,Ceres,Quality Inspector,Seasonal,4
182,2025-03,Sometimes supported,Neutral,Sometimes,Unhappy,Good working environment. Proper equipment provided. Low wages. Heavy workload.,Administration,Citrusdal,Admin Clerk,Permanent,182
183,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Low wages. Too much overtime. Heavy workload.,Logistics,Graaff-Reinet,Logistics Supervisor,Permanent,136
184,2025-03,Often supported,Satisfied,Sometimes,Very happy,Fair management. Clear instructions. Good team.,Logistics,Ceres,Dispatcher,Permanent,24
186,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Respectful treatment. Proper equipment provided. Transportation issues. Inadequate breaks.,Logistics,Citrusdal,Logistics Supervisor,Permanent,116
188,2025-03,Often supported,Satisfied,Rarely,Neutral,Good working environment. Supportive supervisors. Fair management.,Citrus Production,Citrusdal,Farm Supervisor,Permanent,34
190,2025-03,Not at all supported,Very dissatisfied,Always,Unhappy,Inadequate breaks. Low wages. Transportation issues.,Pack House Operations,Citrusdal Pack House,Packer,Seasonal,3
193,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Proper equipment provided. Good team. Long hours. Low wages.,Logistics,Upington,Warehouse Worker,Permanent,102
197,2025-03,Rarely supported,Dissatisfied,Often,Neutral,Housing problems. Unfair treatment. Too much overtime.,Pack House Operations,Citrusdal Pack House,Floor Supervisor,Seasonal,3
198,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Inadequate breaks. Unfair treatment. Transportation issues.,Maize Production,Graaff-Reinet,Field Supervisor,Seasonal,1
199,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Good working environment. Opportunities to learn. Long hours. Weather challenges.,Pack House Operations,Ceres Pack House,Floor Supervisor,Seasonal,3
200,2025-03,Sometimes supported,Neutral,Often,Neutral,Fair pay. Clear instructions. Heavy workload. Weather challenges.,Citrus Production,Ceres,Tractor Driver,Permanent,6
203,2025-03,Sometimes supported,Neutral,Rarely,Neutral,Good working environment. Supportive supervisors. Inadequate breaks. Too much overtime.,Administration,Ceres,Office Manager,Permanent,36
204,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Transportation issues. Poor equipment. Too much overtime.,Citrus Production,Citrusdal,Farm Supervisor,Seasonal,1
206,2025-03,Rarely supported,Dissatisfied,Often,Neutral,Long hours. Too much overtime. Heavy workload.,Citrus Production,Ceres,Tractor Driver,Seasonal,5
207,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Inadequate breaks. Weather challenges. Safety concerns. Good working environment.,Pack House Operations,Ceres,Packer,Permanent,86
208,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Good communication. Good working environment. Poor communication. Poor equipment.,Logistics,Citrusdal,Forklift Operator,Permanent,91
213,2025-03,Often supported,Satisfied,Rarely,Very happy,Safety is prioritized. Proper equipment provided. Opportunities to learn. Low wages.,Administration,Citrusdal,Payroll Officer,Permanent,136
215,2025-03,Rarely supported,Dissatisfied,Sometimes,Unhappy,Inadequate breaks. Unfair treatment. Safety concerns. Fair pay.,Administration,Dullstroom,HR Assistant,Seasonal,3
217,2025-03,Rarely supported,Dissatisfied,Often,Very unhappy,Unfair treatment. Long hours. Transportation issues.,Cattle Farming,Dullstroom,Animal Care Specialist,Seasonal,6
220,2025-03,Often supported,Satisfied,Sometimes,Very happy,Safety is prioritized. Proper equipment provided. Fair management. Poor equipment.,Maintenance,Citrusdal,Maintenance Supervisor,Permanent,149
223,2025-03,Not at all supported,Very dissatisfied,Always,Very happy,Housing problems. Unfair treatment. Long hours.,Cattle Farming,Dullstroom,Cattle Herder,Seasonal,1
225,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Inadequate breaks. Unfair treatment. Safety concerns.,Grape Production,Upington,Vineyard Supervisor,Seasonal,6
227,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Clear instructions. Opportunities to learn. Weather challenges. Housing problems.,Maintenance,Graaff-Reinet,Equipment Technician,Permanent,86
228,2025-03,Rarely supported,Dissatisfied,Often,Neutral,Poor communication. Low wages. Unfair treatment. Safety is prioritized.,Pack House Operations,Ceres,Floor Supervisor,Permanent,62
229,2025-03,Sometimes supported,Neutral,Sometimes,Happy,Proper equipment provided. Opportunities to learn. Poor communication. Housing problems.,Logistics,Ceres Pack House,Logistics Supervisor,Permanent,114
230,2025-03,Sometimes supported,Neutral,Sometimes,Very happy,Fair pay. Fair management. Low wages. Safety concerns.,Logistics,Ceres,Logistics Supervisor,Contract,26
232,2025-03,Rarely supported,Dissatisfied,Often,Neutral,Poor communication. Housing problems. Inadequate breaks. Respectful treatment.,Administration,Ceres,Admin Clerk,Permanent,58
236,2025-03,Often supported,Satisfied,Sometimes,Neutral,Clear instructions. Good communication. Proper equipment provided.,Administration,Ceres Pack House,Admin Clerk,Permanent,6
237,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Clear instructions. Supportive supervisors. Transportation issues. Poor communication.,Citrus Production,Citrusdal,Farm Worker,Permanent,175
238,2025-03,Often supported,Satisfied,Rarely,Very happy,Safety is prioritized. Opportunities to learn. Regular breaks.,Maintenance,Ceres Pack House,Electrician,Permanent,152
241,2025-03,Rarely supported,Dissatisfied,Sometimes,Very unhappy,Heavy workload. Transportation issues. Safety concerns. Safety is prioritized.,Citrus Production,Ceres,Tractor Driver,Seasonal,1
245,2025-03,Often supported,Satisfied,Rarely,Neutral,Safety is prioritized. Regular breaks. Proper equipment provided.,Pack House Operations,Ceres Pack House,Machine Operator,Permanent,126
248,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Low wages. Poor equipment. Poor communication. Regular breaks.,Pack House Operations,Ceres,Quality Inspector,Seasonal,3
249,2025-03,Often supported,Satisfied,Rarely,Happy,Safety is prioritized. Clear instructions. Supportive supervisors. Long hours.,Maintenance,Upington,Mechanic,Permanent,169
250,2025-03,Often supported,Satisfied,Sometimes,Happy,Opportunities to learn. Good team. Supportive supervisors.,Logistics,Citrusdal Pack House,Dispatcher,Permanent,120
251,2025-03,Often supported,Satisfied,Sometimes,Very happy,Fair pay. Supportive supervisors. Opportunities to learn. Poor equipment.,Administration,Graaff-Reinet,Data Entry Clerk,Permanent,78
252,2025-03,Rarely supported,Dissatisfied,Always,Very happy,Inadequate breaks. Weather challenges. Transportation issues. Respectful treatment.,Pack House Operations,Citrusdal Pack House,Logistics Coordinator,Seasonal,6
253,2025-03,Often supported,Satisfied,Rarely,Happy,Respectful treatment. Proper equipment provided. Good working environment. Too much overtime.,Citrus Production,Citrusdal,Tractor Driver,Permanent,142
254,2025-03,Rarely supported,Dissatisfied,Sometimes,Neutral,Inadequate breaks. Weather challenges. Housing problems.,Citrus Production,Citrusdal,Tractor Driver,Seasonal,1
255,2025-03,Sometimes supported,Neutral,Sometimes,Unhappy,Opportunities to learn. Good working environment. Weather challenges. Safety concerns.,Administration,Dullstroom,Office Manager,Permanent,146
256,2025-03,Sometimes supported,Neutral,Sometimes,Unhappy,Proper equipment provided. Regular breaks. Safety concerns. Long hours.,Pack House Operations,Ceres Pack House,Quality Inspector,Permanent,98
258,2025-03,Rarely supported,Dissatisfied,Often,Neutral,Transportation issues. Inadequate breaks. Long hours. Regular breaks.,Citrus Production,Ceres,Farm Supervisor,Seasonal,4
259,2025-03,Sometimes supported,Neutral,Often,Neutral,Clear instructions. Respectful treatment. Safety concerns. Transportation issues.,Grape Production,Upington,Vineyard Worker,Contract,46
261,2025-03,Rarely supported,Dissatisfied,Often,Unhappy,Unfair treatment. Heavy workload. Weather challenges.,Logistics,Ceres,Forklift Operator,Permanent,5
263,2025-03,Sometimes supported,Neutral,Often,Neutral,Good communication. Safety is prioritized. Inadequate breaks. Poor communication.,Pack House Operations,Citrusdal Pack House,Packer,Permanent,146
265,2025-03,Sometimes supported,Neutral,Sometimes,Unhappy,Good team. Proper equipment provided. Housing problems. Unfair treatment.,Logistics,Ceres Pack House,Forklift Operator,Permanent,59
268,2025-03,Sometimes supported,Neutral,Rarely,Unhappy,Proper equipment provided. Good communication. Inadequate breaks. Safety concerns.,Logistics,Citrusdal,Warehouse Worker,Permanent,89
272,2025-03,Sometimes supported,Neutral,Sometimes,Happy,Supportive supervisors. Respectful treatment. Housing problems. Weather challenges.,Grape Production,Upington,Vineyard Supervisor,Permanent,69
273,2025-03,Sometimes supported,Neutral,Sometimes,Neutral,Fair pay. Supportive supervisors. Inadequate breaks. Poor communication.,Logistics,Upington,Warehouse Worker,Permanent,62
274,2025-03,Sometimes supported,Neutral,Often,Neutral,Safety is prioritized. Fair pay. Low wages. Too much overtime.,Citrus Production,Citrusdal,Tractor Driver,Seasonal,1
275,2025-03,Sometimes supported,Neutral,Sometimes,Happy,Good team. Safety is prioritized. Long hours. Housing problems.,Maintenance,Dullstroom,Maintenance Worker,Permanent,139
276,2025-03,Sometimes supported,Neutral,Often,Neutral,Regular breaks. Good team. Poor communication. Unfair treatment.,Pack House Operations,Citrusdal Pack House,Sorter,Permanent,26
278,2025-03,Often supported,Satisfied,Rarely,Very happy,Regular breaks. Good team. Opportunities to learn.,Maintenance,Citrusdal,Equipment Technician,Permanent,10
279,2025-03,Sometimes supported,Neutral,Rarely,Happy,Proper equipment provided. Safety is prioritized. Low wages. Too much overtime.,Grape Production,Upington,Harvester,Permanent,74
281,2025-03,Sometimes supported,Neutral,Sometimes,Happy,Clear instructions. Supportive supervisors. Transportation issues. Safety concerns.,Logistics,Citrusdal,Dispatcher,Permanent,105
282,2025-03,Rarely supported,Dissatisfied,Sometimes,Neutral,Poor equipment. Long hours. Too much overtime. Fair management.,Grape Production,Upington,Pruner,Seasonal,1
283,2025-03,Often supported,Satisfied,Rarely,Neutral,Fair pay. Respectful treatment. Proper equipment provided. Housing problems.,Administration,Citrusdal Pack House,Admin Clerk,Permanent,53
285,2025-03,Often supported,Satisfied,Sometimes,Happy,Good working environment. Good communication. Fair pay.,Cattle Farming,Dullstroom,Livestock Supervisor,Permanent,67
286,2025-03,Sometimes supported,Neutral,Often,Neutral,Clear instructions. Opportunities to learn. Poor equipment. Safety concerns.,Grape Production,Upington,Vineyard Worker,Permanent,24
288,2025-03,Rarely supported,Dissatisfied,Often,Neutral,Poor equipment. Long hours. Low wages.,Grape Production,Upington,Viticulturist,Seasonal,4
